"ID";"Persoonskenmerken";"Perioden";"VertrouwenInVerkiezingen_1";"Kerken_7";"Leger_8";"Rechters_9";"Pers_10";"Politie_11";"Ambtenaren_12";"GroteBedrijven_13";"EuropeseUnie_14";"NAVO_15";"TweedeKamer_16";"VertrouwenInAndereMensen_17"
"0";" 10000";"2006JJ00";"74";"43";"61";"72";"34";"71";"38";"35";"41";"55";"60";"61"
"1";" 10000";"2010JJ00";"72";"34";"74";"70";"33";"70";"51";"47";"45";"66";"59";"57"
"3";" 15400";"2006JJ00";"78";"44";"64";"76";"35";"68";"37";"37";"38";"55";"61";"62"
"4";" 15400";"2010JJ00";"77";"32";"75";"71";"34";"67";"51";"46";"43";"68";"60";"58"
"6";" 15450";"2006JJ00";"70";"41";"58";"67";"33";"73";"38";"34";"44";"55";"60";"59"
"7";" 15450";"2010JJ00";"67";"36";"74";"69";"32";"72";"52";"47";"46";"64";"58";"56"
"9";" 20930";"2006JJ00";"66";"47";"76";"78";"25";"69";"38";"51";"68";"70";"69";"59"
"10";" 20930";"2010JJ00";"70";"40";"90";"79";"31";"67";"59";"64";"69";"79";"66";"59"
"12";" 20940";"2006JJ00";"71";"39";"70";"84";"32";"70";"38";"42";"46";"57";"61";"60"
"13";" 20940";"2010JJ00";"71";"38";"80";"78";"35";"69";"52";"46";"51";"74";"59";"58"
"15";" 20950";"2006JJ00";"77";"35";"63";"79";"38";"73";"37";"37";"37";"53";"61";"66"
"16";" 20950";"2010JJ00";"83";"27";"78";"83";"37";"70";"51";"51";"40";"65";"59";"57"
"18";" 20960";"2006JJ00";"81";"36";"53";"73";"38";"71";"37";"30";"35";"51";"63";"65"
"19";" 20960";"2010JJ00";"76";"29";"73";"74";"35";"76";"51";"44";"36";"66";"65";"65"
"21";" 20970";"2006JJ00";"75";"42";"56";"67";"33";"68";"39";"29";"37";"55";"55";"59"
"22";" 20970";"2010JJ00";"67";"30";"66";"61";"34";"67";"50";"39";"39";"58";"57";"54"
"24";" 20980";"2006JJ00";"72";"60";"59";"57";"30";"69";"34";"30";"35";"50";"61";"58"
"25";" 20980";"2010JJ00";"66";"42";"73";"52";"26";"64";"47";"38";"48";"65";"55";"54"
"27";" 20990";"2006JJ00";"68";"57";"45";"42";"37";"75";"40";"27";"36";"52";"45";"43"
"28";" 20990";"2010JJ00";"60";"42";"60";"51";"23";"71";"52";"45";"41";"55";"46";"46"
"30";" 16650";"2006JJ00";"70";"39";"68";"77";"35";"67";"40";"42";"52";"61";"63";"65"
"31";" 16650";"2010JJ00";"73";"34";"78";"77";"34";"66";"52";"49";"52";"68";"63";"58"
"33";" 16700";"2006JJ00";"78";"44";"59";"72";"34";"72";"38";"34";"38";"54";"61";"62"
"34";" 16700";"2010JJ00";"74";"34";"75";"70";"33";"72";"52";"46";"42";"66";"59";"59"
"36";" 16800";"2006JJ00";"66";"33";"49";"64";"34";"67";"30";"27";"30";"39";"52";"48"
"37";" 16800";"2010JJ00";"69";"28";"74";"67";"34";"66";"49";"51";"39";"66";"56";"53"
"39";" 16750";"2006JJ00";"66";"54";"59";"54";"28";"77";"34";"31";"32";"55";"52";"40"
"40";" 16750";"2010JJ00";"54";"38";"58";"48";"23";"67";"46";"36";"38";"55";"43";"48"
"42";" 12600";"2006JJ00";"75";"42";"62";"72";"34";"72";"38";"35";"41";"56";"60";"63"
"43";" 12600";"2010JJ00";"73";"33";"75";"71";"33";"72";"52";"48";"45";"68";"61";"60"
"45";" 12601";"2006JJ00";"72";"36";"44";"60";"34";"57";"31";"35";"37";"50";"51";"52"
"46";" 12601";"2010JJ00";"64";"33";"72";"65";"33";"64";"45";"42";"35";"61";"49";"45"
"48";" 13000";"2006JJ00";"65";"55";"67";"79";"29";"64";"34";"35";"49";"45";"72";"36"
"49";" 13000";"2010JJ00";"65";"43";"71";"65";"27";"44";"53";"38";"50";"48";"47";"37"
"51";" 18710";"2006JJ00";"51";"62";"58";"55";"33";"76";"31";"29";"31";"43";"48";"38"
"52";" 18710";"2010JJ00";"38";"45";"65";"44";"23";"63";"40";"37";"38";"53";"33";"33"
"54";" 18719";"2006JJ00";"62";"43";"60";"62";"29";"70";"33";"29";"36";"47";"54";"45"
"55";" 18719";"2010JJ00";"57";"32";"75";"64";"30";"62";"44";"53";"46";"69";"52";"38"
"57";" 18730";"2006JJ00";"75";"32";"60";"61";"26";"70";"32";"32";"41";"51";"46";"52"
"58";" 18730";"2010JJ00";"68";"32";"79";"65";"29";"66";"52";"43";"43";"61";"57";"53"
"60";" 18750";"2006JJ00";"77";"38";"63";"75";"35";"69";"35";"38";"42";"58";"63";"62"
"61";" 18750";"2010JJ00";"77";"33";"75";"71";"32";"69";"51";"47";"43";"68";"60";"60"
"63";" 18789";"2006JJ00";"91";"46";"60";"84";"39";"74";"49";"40";"47";"61";"73";"80"
"64";" 18789";"2010JJ00";"89";"36";"75";"87";"40";"82";"64";"47";"53";"71";"74";"81"
"66";" 10020";"2006JJ00";"70";"40";"64";"73";"33";"71";"39";"34";"48";"55";"59";"56"
"67";" 10020";"2010JJ00";"70";"32";"68";"70";"34";"69";"54";"49";"50";"60";"60";"56"
"69";" 10030";"2006JJ00";"76";"40";"57";"70";"38";"73";"39";"36";"38";"51";"60";"60"
"70";" 10030";"2010JJ00";"69";"28";"71";"71";"36";"65";"50";"48";"44";"67";"56";"58"
"72";" 10040";"2006JJ00";"72";"44";"63";"74";"39";"75";"41";"40";"40";"59";"64";"64"
"73";" 10040";"2010JJ00";"78";"35";"84";"73";"31";"74";"56";"46";"47";"69";"64";"58"
"75";" 10060";"2006JJ00";"77";"48";"65";"74";"31";"65";"34";"32";"40";"55";"61";"57"
"76";" 10060";"2010JJ00";"68";"35";"74";"66";"28";"67";"44";"42";"39";"65";"57";"54"
"78";" 10070";"2006JJ00";"75";"39";"54";"66";"23";"66";"31";"33";"41";"56";"53";"67"
"79";" 10070";"2010JJ00";"78";"44";"77";"74";"34";"80";"56";"49";"46";"71";"61";"60"
"81";"100410";"2006JJ00";"87";"61";"70";"75";"29";"76";"43";"46";"50";"67";"71";"67"
"82";"100410";"2010JJ00";"81";"65";"83";"73";"29";"79";"56";"55";"58";"80";"75";"64"
"84";"102820";"2006JJ00";"74";"33";"56";"78";"36";"72";"42";"28";"45";"52";"66";"57"
"85";"102820";"2010JJ00";"77";"31";"65";"79";"36";"77";"66";"38";"54";"61";"72";"61"
"87";"103630";"2006JJ00";"90";"38";"69";"75";"35";"66";"36";"54";"44";"65";"70";"70"
"88";"103630";"2010JJ00";"85";"29";"84";"81";"36";"74";"53";"58";"42";"74";"69";"73"
"90";"100920";"2006JJ00";"88";"35";"37";"90";"40";"83";"53";"25";"52";"45";"72";"89"
"91";"100920";"2010JJ00";"91";"30";"67";"82";"46";"75";"61";"32";"55";"70";"76";"82"
"93";"103320";"2006JJ00";"75";"27";"51";"69";"40";"67";"37";"24";"32";"42";"53";"58"
"94";"103320";"2010JJ00";"66";"23";"66";"74";"30";"73";"53";"38";"38";"56";"58";"57"
"96";"100470";"2006JJ00";"90";"93";"70";"77";"24";"79";"43";"26";"30";"57";"76";"66"
"97";"100470";"2010JJ00";"89";"90";"84";"74";"21";"91";"65";"43";"41";"63";"66";"74"
"99";"100560";"2006JJ00";;;;;;;;;;;;
"100";"100560";"2010JJ00";"86";"24";"75";"87";"39";"81";"64";"47";"52";"74";"79";"85"
