"Vertrouwen in mensen en in organisaties; persoonskenmerken"
"";"";"Onderwerpen";"Vertrouwen in andere mensen";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties";"Vertrouwen in organisaties"
"";"";"Onderwerpen";"Vertrouwen in andere mensen";"Kerken";"Leger";"Rechters";"Pers";"Politie";"Tweede Kamer";"Ambtenaren";"Banken";"Grote bedrijven";"Europese Unie"
"Persoonskenmerken";"Cijfersoort";"Perioden";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%"
"Totaal";"Waarde";"2012";"58.3";"31.0";"59.3";"68.8";"30.9";"67.7";"36.3";"44.3";"41.6";"45.3";"39.2"
"Totaal";"Waarde";"2013";"58.3";"28.7";"61.7";"69.0";"31.8";"67.5";"31.5";"40.8";"34.3";"40.3";"34.3"
"Totaal";"Waarde";"2014";"57.9";"29.4";"62.2";"68.0";"31.3";"67.9";"34.6";"41.9";"36.6";"40.1";"36.4"
"Totaal";"Waarde";"2015";"59.7";"30.3";"64.8";"69.0";"30.3";"68.8";"34.4";"42.3";"35.4";"39.2";"35.8"
"Totaal";"Waarde";"2016";"59.9";"30.4";"64.9";"71.5";"31.2";"70.3";"36.8";"42.6";"36.3";"37.4";"36.0"
"Totaal";"Waarde";"2017";"62.2";"31.2";"64.8";"72.9";"31.9";"74.5";"40.8";"45.5";"39.9";"39.4";"43.1"
"Geslacht: mannen";"Waarde";"2012";"60.8";"29.9";"60.3";"70.4";"31.3";"66.6";"37.2";"44.2";"37.1";"45.8";"37.2"
"Geslacht: mannen";"Waarde";"2013";"60.9";"27.1";"61.2";"68.7";"31.4";"64.6";"30.8";"40.5";"32.1";"42.0";"32.4"
"Geslacht: mannen";"Waarde";"2014";"61.6";"28.7";"60.9";"68.0";"31.6";"65.6";"34.7";"42.4";"33.0";"41.1";"34.7"
"Geslacht: mannen";"Waarde";"2015";"63.0";"28.8";"62.7";"68.7";"31.4";"67.2";"34.4";"42.0";"31.0";"39.4";"33.9"
"Geslacht: mannen";"Waarde";"2016";"62.8";"29.2";"63.6";"71.7";"32.7";"70.0";"36.8";"43.6";"34.3";"37.5";"34.9"
"Geslacht: mannen";"Waarde";"2017";"64.8";"29.3";"62.8";"72.7";"33.9";"72.6";"39.1";"45.2";"35.9";"39.7";"40.6"
"Geslacht: vrouwen";"Waarde";"2012";"55.8";"32.1";"58.2";"67.2";"30.5";"68.8";"35.3";"44.5";"46.1";"44.6";"41.2"
"Geslacht: vrouwen";"Waarde";"2013";"55.7";"30.2";"62.1";"69.4";"32.1";"70.3";"32.1";"41.1";"36.6";"38.6";"36.2"
"Geslacht: vrouwen";"Waarde";"2014";"54.3";"30.1";"63.5";"68.0";"31.0";"70.2";"34.5";"41.4";"40.2";"39.0";"38.1"
"Geslacht: vrouwen";"Waarde";"2015";"56.4";"31.8";"67.0";"69.4";"29.1";"70.4";"34.5";"42.6";"39.8";"39.0";"37.9"
"Geslacht: vrouwen";"Waarde";"2016";"57.1";"31.5";"66.3";"71.3";"29.6";"70.6";"36.9";"41.6";"38.3";"37.3";"37.2"
"Geslacht: vrouwen";"Waarde";"2017";"59.6";"33.2";"66.8";"73.0";"29.8";"76.4";"42.5";"45.8";"44.1";"39.0";"45.7"
"Onderwijsniveau: basisonderwijs";"Waarde";"2012";"36.2";"31.3";"52.1";"50.3";"28.2";"60.6";"25.5";"41.2";"46.6";"42.0";"31.3"
"Onderwijsniveau: basisonderwijs";"Waarde";"2013";"38.8";"32.1";"56.2";"50.2";"31.2";"60.5";"25.9";"37.0";"40.0";"38.9";"28.5"
"Onderwijsniveau: basisonderwijs";"Waarde";"2014";"37.3";"32.2";"51.1";"51.4";"25.4";"63.9";"28.5";"35.6";"43.4";"38.3";"30.5"
"Onderwijsniveau: basisonderwijs";"Waarde";"2015";"38.8";"34.0";"57.5";"48.5";"25.9";"58.4";"28.9";"32.9";"43.2";"38.1";"31.2"
"Onderwijsniveau: basisonderwijs";"Waarde";"2016";"39.3";"30.9";"58.9";"55.6";"29.6";"65.7";"29.9";"38.7";"46.7";"38.4";"34.0"
"Onderwijsniveau: basisonderwijs";"Waarde";"2017";"42.5";"35.2";"54.8";"55.1";"28.7";"65.8";"28.9";"38.5";"49.3";"38.4";"33.0"
"Onderwijsniveau: vmbo,mbo1,avo onderbouw";"Waarde";"2012";"45.6";"33.0";"57.0";"57.6";"27.6";"64.2";"29.6";"40.0";"46.1";"43.9";"32.6"
"Onderwijsniveau: vmbo,mbo1,avo onderbouw";"Waarde";"2013";"44.8";"30.8";"57.2";"58.6";"28.3";"61.9";"24.2";"35.7";"38.3";"41.4";"28.6"
"Onderwijsniveau: vmbo,mbo1,avo onderbouw";"Waarde";"2014";"44.4";"31.6";"61.2";"56.3";"29.6";"63.5";"29.2";"38.8";"42.6";"41.5";"32.5"
"Onderwijsniveau: vmbo,mbo1,avo onderbouw";"Waarde";"2015";"47.2";"33.5";"61.5";"60.9";"27.7";"65.5";"26.7";"38.9";"40.5";"40.2";"32.2"
"Onderwijsniveau: vmbo,mbo1,avo onderbouw";"Waarde";"2016";"44.4";"33.1";"60.4";"62.7";"28.1";"64.8";"28.8";"36.5";"41.7";"39.8";"32.5"
"Onderwijsniveau: vmbo,mbo1,avo onderbouw";"Waarde";"2017";"50.9";"33.9";"60.8";"62.4";"27.3";"70.2";"34.2";"41.0";"44.8";"40.8";"36.0"
