"Vertrouwen in mensen, recht en politiek; Europese vergelijking"
"";"";"Onderwerpen";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in";"Rapportcijfer voor vertrouwen in"
"";"";"Onderwerpen";"Andere mensen";"Rechtssysteem";"Politie";"Politici";"Parlement";"Politieke partijen";"Europees Parlement";"Verenigde Naties"
"Persoonskenmerken";"Land";"Perioden";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore";"schaalscore"
"Totaal personen";"België";"2002";"4.8";"4.4";"5.6";"4.3";"5.0";".";"4.9";"5.1"
"Totaal personen";"België";"2004";"4.8";"4.8";"5.8";"4.2";"4.7";"4.3";"5.0";"5.1"
"Totaal personen";"België";"2006";"5.0";"4.9";"5.9";"4.4";"5.0";"4.4";"5.1";"5.3"
"Totaal personen";"België";"2008";"5.1";"4.9";"6.0";"4.0";"4.6";"4.0";"5.1";"5.3"
"Totaal personen";"België";"2010";"5.0";"4.9";"6.0";"3.9";"4.5";"3.9";"5.0";"5.3"
"Totaal personen";"België";"2012";"5.1";"4.9";"6.1";"4.3";"5.0";"4.2";"5.1";"5.5"
"Totaal personen";"België";"2014*";"5.0";"5.0";"6.0";"4.1";"4.8";"4.1";"4.8";"5.2"
"Totaal personen";"Bulgarije";"2002";".";".";".";".";".";".";".";"."
"Totaal personen";"Bulgarije";"2004";".";".";".";".";".";".";".";"."
"Totaal personen";"Bulgarije";"2006";".";".";".";".";".";".";".";"."
"Totaal personen";"Bulgarije";"2008";"3.5";"2.3";"3.3";"1.6";"1.9";"1.7";"4.6";"4.8"
"Totaal personen";"Bulgarije";"2010";"3.5";"2.5";"3.9";"2.0";"2.4";"2.0";"4.8";"4.9"
"Totaal personen";"Bulgarije";"2012";"3.4";"2.3";"3.6";"1.8";"2.1";"1.8";"4.3";"4.6"
"Totaal personen";"Bulgarije";"2014*";".";".";".";".";".";".";".";"."
"Totaal personen";"Cyprus";"2002";".";".";".";".";".";".";".";"."
"Totaal personen";"Cyprus";"2004";".";".";".";".";".";".";".";"."
"Totaal personen";"Cyprus";"2006";".";".";".";".";".";".";".";"."
"Totaal personen";"Cyprus";"2008";"4.5";"6.4";"5.9";"4.5";"5.6";"4.4";"6.0";"4.8"
"Totaal personen";"Cyprus";"2010";"3.8";"5.6";"5.5";"3.6";"4.6";"3.5";"5.0";"4.4"
"Totaal personen";"Cyprus";"2012";"3.6";"4.7";"4.9";"2.5";"3.4";"2.4";"4.3";"3.7"
"Totaal personen";"Cyprus";"2014*";".";".";".";".";".";".";".";"."
"Totaal personen";"Denemarken";"2002";"7.0";"7.1";"7.9";"5.5";"6.2";".";"4.8";"6.5"
"Totaal personen";"Denemarken";"2004";"6.8";"7.2";"7.9";"5.6";"6.3";"5.6";"4.8";"6.6"
"Totaal personen";"Denemarken";"2006";"7.0";"7.5";"7.8";"5.6";"6.4";"4.8";"4.8";"5.4"
"Totaal personen";"Denemarken";"2008";"6.9";"7.3";"7.6";"5.6";"6.5";"5.7";"5.0";"6.5"
"Totaal personen";"Denemarken";"2010";"6.8";"7.4";"7.7";"5.0";"5.8";"5.2";"5.0";"6.2"
"Totaal personen";"Denemarken";"2012";"7.0";"7.7";"8.0";"5.2";"6.1";"5.3";"5.2";"6.6"
"Totaal personen";"Denemarken";"2014*";"6.9";"7.4";"7.7";"4.9";"5.9";"5.1";"4.8";"6.3"
"Totaal personen";"Duitsland";"2002";"4.7";"5.7";"6.7";"3.5";"4.5";".";"4.5";"5.2"
"Totaal personen";"Duitsland";"2004";"4.8";"5.5";"6.5";"3.2";"4.2";"3.2";"4.2";"4.9"
"Totaal personen";"Duitsland";"2006";"4.8";"5.6";"6.6";"3.3";"4.2";"3.3";"4.1";"4.7"
"Totaal personen";"Duitsland";"2008";"4.9";"5.8";"6.8";"3.5";"4.7";"3.5";"4.3";"5.0"
"Totaal personen";"Duitsland";"2010";"4.7";"5.7";"6.9";"3.4";"4.3";"3.4";"4.0";"4.7"
"Totaal personen";"Duitsland";"2012";"5.0";"6.0";"6.9";"3.8";"4.9";"3.8";"4.4";"5.1"
"Totaal personen";"Duitsland";"2014*";"5.1";"5.2";"6.7";"3.1";"3.6";"2.9";"4.4";"5.5"
"Totaal personen";"Estland";"2002";".";".";".";".";".";".";".";"."
"Totaal personen";"Estland";"2004";"5.2";"4.9";"5.7";"3.3";"4.2";"3.1";"4.9";"5.5"
"Totaal personen";"Estland";"2006";"5.3";"5.1";"5.5";"3.5";"4.6";"5.7";"5.0";"6.5"
"Totaal personen";"Estland";"2008";"3.5";"2.3";"3.3";"1.6";"1.9";"1.7";"4.6";"4.8"
"Totaal personen";"Estland";"2010";"5.7";"5.2";"6.2";"3.6";"4.2";"3.4";"5.2";"5.5"
