"ID";"Geslacht";"Perioden";"SlachtofferschapGeweldsdelicten_54";"SlachtofferschapVandalismedelicten_55";"SlachtofferschapVanVermogensdelicten_56";"Onveiligheidsgevoelens_57";"SlachtoffersVanMoordEnDoodslag_58"
"0";"T";"1999JJ00";"5.6";"11.6";"12.6";"21.9";"2"
"1";"T";"2000JJ00";"5.1";"11.1";"12.4";"20.8";"1.8"
"2";"T";"2001JJ00";"5.9";"10.6";"12.1";"22.5";"2"
"3";"T";"2002JJ00";"6";"12";"12.9";"25.4";"2"
"4";"T";"2003JJ00";"5.8";"11";"11.9";"23.7";"2"
"5";"T";"2004JJ00";"5.3";"11.4";"12.1";"21.8";"1.9"
"6";"T";"2005JJ00";"5.8";"13";"14.4";"27";"1.7"
"7";"T";"2006JJ00";"5.1";"12";"12.9";"23.7";"1.3"
"8";"T";"2007JJ00";"5.3";"11.7";"11.2";"21.8";"1.4"
"9";"T";"2008JJ00";"5.4";"13.6";"10.7";"25.5";"1.5"
"10";"T";"2009JJ00";"5.7";"14.2";"10.8";"25.8";"1.5"
"11";"T";"2010JJ00";;;;;"1.4"
"12";"T";"2011JJ00";;;;;"1.4"
"13";"T";"2012JJ00";"2.6";"7.7";"13.2";"36.6";"1.5"
"14";"T";"2013JJ00";"2.4";"7.1";"13.7";"36.7";"1.3"
"15";"T";"2014JJ00";"2.3";"6.8";"13";"35.9";"1.2"
"16";"T";"2015JJ00";"2.2";"6.2";"12.2";"35.6";"1"
"17";"T";"2016JJ00";"2.3";"6.3";"11.5";"34.7";"1"
"18";"T";"2017JJ00";"2.1";"5.5";"10";"34.1";
